trial_id,controller,push_magnitude_N,push_direction_deg,push_duration_s,impulse_Ns,success,failure_reason,recovered_at_s,recovery_latency_s,max_torso_error_rad,max_com_displacement_m,max_joint_torque_Nm,max_contact_force_N,min_friction_margin,seed,mass_kg,force_over_mg,impulse_over_mass_m_s
calibration_pd_10_0,pd,10.0,0.0,0.15,1.5,True,,2.1519999999999846,0.0019999999999846807,0.052198383757076826,0.026897355419900675,5.7696832902442665,172.39873268547848,0.9744534801944383,0,35.112142000000006,0.029031780284012747,0.04272026468792476
calibration_pd_10_45,pd,10.0,45.0,0.15,1.5,True,,2.1519999999999846,0.0019999999999846807,0.04400819131249907,0.022852763821195422,4.895804195344406,195.9104793353244,0.9632561807837603,0,35.112142000000006,0.029031780284012747,0.04272026468792476
calibration_pd_10_90,pd,10.0,90.0,0.15,1.5,True,,2.1519999999999846,0.0019999999999846807,0.031909607331130165,0.016845268251746,3.5229520416177844,205.55503778150083,0.9533650400691441,0,35.112142000000006,0.029031780284012747,0.04272026468792476
calibration_pd_10_135,pd,10.0,135.0,0.15,1.5,True,,2.1519999999999846,0.0019999999999846807,0.030180157486437043,0.015830021131863548,3.363317639654619,196.0853257116952,0.9671369630551151,0,35.112142000000006,0.029031780284012747,0.04272026468792476
calibration_pd_10_180,pd,10.0,180.0,0.15,1.5,True,,2.1519999999999846,0.0019999999999846807,0.02928315107397599,0.01531404300557664,3.277796494390866,172.5108799305099,0.9765627527618834,0,35.112142000000006,0.029031780284012747,0.04272026468792476
calibration_pd_10_225,pd,10.0,225.0,0.15,1.5,True,,2.1519999999999846,0.0019999999999846807,0.030179891675049253,0.015829898530545602,3.3620003814399033,195.87179559497557,0.9671095914969017,0,35.112142000000006,0.029031780284012747,0.04272026468792476
calibration_pd_10_270,pd,10.0,270.0,0.15,1.5,True,,2.1519999999999846,0.0019999999999846807,0.03190918061222297,0.016845093245757933,3.5213136382664727,205.34273156509204,0.9534397194135618,0,35.112142000000006,0.029031780284012747,0.04272026468792476
calibration_pd_10_315,pd,10.0,315.0,0.15,1.5,True,,2.1519999999999846,0.0019999999999846807,0.0440077044053035,0.02285252019624094,4.894697596434803,195.6993322740205,0.9633236309524026,0,35.112142000000006,0.029031780284012747,0.04272026468792476
calibration_pd_20_0,pd,20.0,0.0,0.15,3.0,False,FALL,,,1.6725810140220976,0.7679406232863606,139.0,2229.155132874067,0.0,0,35.112142000000006,0.058063560568025495,0.08544052937584952
calibration_pd_20_45,pd,20.0,45.0,0.15,3.0,False,FALL,,,2.189578125522226,0.7183582218806492,139.0,3310.4844498878288,-2.220446049250313e-16,0,35.112142000000006,0.058063560568025495,0.08544052937584952
