trial_id,controller,push_magnitude_N,push_direction_deg,push_duration_s,impulse_Ns,success,failure_reason,recovered_at_s,recovery_latency_s,max_torso_error_rad,max_com_displacement_m,max_joint_torque_Nm,max_contact_force_N,min_friction_margin,seed
canonical_pd,pd,120.0,0.0,0.15,18.0,True,,3.111999999999879,0.961999999999879,0.17361900210124695,0.07428568326276859,21.695322916227095,1396.9450197052968,0.04904365763049123,0
canonical_se3_wbc,se3_wbc,120.0,0.0,0.15,18.0,True,,3.791999999999804,1.641999999999804,0.15956951120708832,0.08564070489028598,21.108277831274062,2418.6902484936963,0.0,0
