trial_id,controller,push_magnitude_N,push_direction_deg,push_duration_s,impulse_Ns,success,failure_reason,recovered_at_s,recovery_latency_s,max_torso_error_rad,max_com_displacement_m,max_joint_torque_Nm,max_contact_force_N,min_friction_margin,seed,mass_kg,force_over_mg,impulse_over_mass_m_s,factor,factor_value,initial_tilt_rad,initial_com_offset_m,initial_angular_velocity_rad_s
friction_0.3_0,se3_wbc,71.53397089800029,-1.056838906330415,0.13622920571808583,9.745016037295247,True,,2.391999999999958,0.2557707942818723,0.04836722896253385,0.06798124769380422,20.35495409276564,443.03048029754996,0.5871737057618521,0,35.112142000000006,0.20767585259537064,0.2775397763342164,friction,0.3,0.0,0.0,0.04675362118938842
friction_0.3_1,se3_wbc,70.13240219664287,6.572945148009267,0.13932478838158902,9.771182094739757,True,,2.383999999999959,0.24467521161836991,0.04818007038221061,0.06430518660723743,21.095494990095766,416.318780267345,0.5925363466469982,1,35.112142000000006,0.20360684913629487,0.27828499026746234,friction,0.3,0.0,0.0,0.0013779556621534182
friction_0.3_2,se3_wbc,67.33005590359235,-4.181987531845979,0.15942677221782842,10.73421348595567,True,,2.427999999999954,0.268573227782126,0.052100954545980495,0.08356465731226963,20.740332660174744,469.1563283999618,0.5707282821039634,2,35.112142000000006,0.19547113895033885,0.3057122942244785,friction,0.3,0.0,0.0,0.032871650743779623
friction_0.3_3,se3_wbc,65.35927067200859,-20.445320250513454,0.1590382339561919,10.394622980340975,True,,2.4079999999999564,0.2489617660437644,0.05269896512167898,0.06589178050738918,23.484556506800562,366.5037883347984,0.12852238603868937,3,35.112142000000006,0.18974959856730717,0.29604069670090116,friction,0.3,0.0,0.0,0.005683600996070171
friction_0.3_4,se3_wbc,74.96222838241052,-1.3977383386062172,0.16428731117123113,12.31534294034997,False,FALL,,,1.8276929009182308,1.7038311206212748,88.0,1244.4841789787165,-2.220446049250313e-16,4,35.112142000000006,0.21762869439981264,0.35074314008954416,friction,0.3,0.0,0.0,0.02719707003817491
friction_0.5_0,se3_wbc,71.53397089800029,-1.056838906330415,0.13622920571808583,9.745016037295247,True,,2.391999999999958,0.2557707942818723,0.04840344063552854,0.06876836665396065,20.355431804522258,403.7408899761836,0.7491671656506091,0,35.112142000000006,0.20767585259537064,0.2775397763342164,friction,0.5,0.0,0.0,0.04675362118938842
friction_0.5_1,se3_wbc,70.13240219664287,6.572945148009267,0.13932478838158902,9.771182094739757,True,,2.383999999999959,0.24467521161836991,0.04823356168957316,0.06505670868039454,21.17948494018571,423.59294938597293,0.7583281143998795,1,35.112142000000006,0.20360684913629487,0.27828499026746234,friction,0.5,0.0,0.0,0.0013779556621534182
friction_0.5_2,se3_wbc,67.33005590359235,-4.181987531845979,0.15942677221782842,10.73421348595567,True,,2.427999999999954,0.268573227782126,0.052123830295531616,0.08468960960123606,20.804121060705818,478.3142322753991,0.7513532797561818,2,35.112142000000006,0.19547113895033885,0.3057122942244785,friction,0.5,0.0,0.0,0.032871650743779623
friction_0.5_3,se3_wbc,65.35927067200859,-20.445320250513454,0.1590382339561919,10.394622980340975,True,,2.403999999999957,0.24496176604376485,0.0526690587660335,0.06698945379739336,23.720683698968717,365.3047848874494,0.7550998200991168,3,35.112142000000006,0.18974959856730717,0.29604069670090116,friction,0.5,0.0,0.0,0.005683600996070171
friction_0.5_4,se3_wbc,74.96222838241052,-1.3977383386062172,0.16428731117123113,12.31534294034997,False,FALL,,,1.5853438511487206,1.4413050861172723,72.8782319894638,359.26676712227516,0.0,4,35.112142000000006,0.21762869439981264,0.35074314008954416,friction,0.5,0.0,0.0,0.02719707003817491
friction_0.7_0,se3_wbc,71.53397089800029,-1.056838906330415,0.13622920571808583,9.745016037295247,True,,2.391999999999958,0.2557707942818723,0.048418651112052645,0.06969863196815304,20.349420517489996,444.90034525534315,0.8244037539399374,0,35.112142000000006,0.20767585259537064,0.2775397763342164,friction,0.7,0.0,0.0,0.04675362118938842
friction_0.7_1,se3_wbc,70.13240219664287,6.572945148009267,0.13932478838158902,9.771182094739757,True,,2.383999999999959,0.24467521161836991,0.04830475797791912,0.0660802865904733,21.239302636837376,370.54377419602775,0.8303568230431122,1,35.112142000000006,0.20360684913629487,0.27828499026746234,friction,0.7,0.0,0.0,0.0013779556621534182
friction_0.7_2,se3_wbc,67.33005590359235,-4.181987531845979,0.15942677221782842,10.73421348595567,True,,2.427999999999954,0.268573227782126,0.05212184584796388,0.08623874648909602,20.83861320965464,476.68112532155214,0.8254629046916132,2,35.112142000000006,0.19547113895033885,0.3057122942244785,friction,0.7,0.0,0.0,0.032871650743779623
friction_0.7_3,se3_wbc,65.35927067200859,-20.445320250513454,0.1590382339561919,10.394622980340975,True,,2.403999999999957,0.24496176604376485,0.05264872765567619,0.06814384055851841,23.913337875899586,367.7853636440968,0.8260525803048531,3,35.112142000000006,0.18974959856730717,0.29604069670090116,friction,0.7,0.0,0.0,0.005683600996070171
friction_0.7_4,se3_wbc,74.96222838241052,-1.3977383386062172,0.16428731117123113,12.31534294034997,False,FALL,,,1.5555958067752806,1.4680753446184946,93.27076950182226,1101.5352895196481,0.0,4,35.112142000000006,0.21762869439981264,0.35074314008954416,friction,0.7,0.0,0.0,0.02719707003817491
friction_0.9_0,se3_wbc,71.53397089800029,-1.056838906330415,0.13622920571808583,9.745016037295247,True,,2.391999999999958,0.2557707942818723,0.048448229772647525,0.07054222962534396,20.35821730204551,426.9670240599372,0.8652042364736431,0,35.112142000000006,0.20767585259537064,0.2775397763342164,friction,0.9,0.0,0.0,0.04675362118938842
friction_0.9_1,se3_wbc,70.13240219664287,6.572945148009267,0.13932478838158902,9.771182094739757,True,,2.383999999999959,0.24467521161836991,0.048350731118386614,0.06690466347679129,21.263720260383124,361.6188762013411,0.8684322344793443,1,35.112142000000006,0.20360684913629487,0.27828499026746234,friction,0.9,0.0,0.0,0.0013779556621534182
friction_0.9_2,se3_wbc,67.33005590359235,-4.181987531845979,0.15942677221782842,10.73421348595567,True,,2.427999999999954,0.268573227782126,0.05212979312371923,0.08761337074201414,20.860973162782813,484.4133695938293,0.8665043334050083,2,35.112142000000006,0.19547113895033885,0.3057122942244785,friction,0.9,0.0,0.0,0.032871650743779623
friction_0.9_3,se3_wbc,65.35927067200859,-20.445320250513454,0.1590382339561919,10.394622980340975,True,,2.3999999999999573,0.2409617660437653,0.05261316712349114,0.0691688435922315,23.988128344815063,359.76916579725236,0.8667866719620394,3,35.112142000000006,0.18974959856730717,0.29604069670090116,friction,0.9,0.0,0.0,0.005683600996070171
friction_0.9_4,se3_wbc,74.96222838241052,-1.3977383386062172,0.16428731117123113,12.31534294034997,False,FALL,,,1.6791476386772877,1.51540736434237,139.0,1218.1470270728378,-2.220446049250313e-16,4,35.112142000000006,0.21762869439981264,0.35074314008954416,friction,0.9,0.0,0.0,0.02719707003817491
mass_scale_0.9_0,se3_wbc,71.53397089800029,-1.056838906330415,0.13622920571808583,9.745016037295247,False,FALL,2.427999999999954,0.29177079428186836,1.422789080029909,1.1947919391464707,50.0,553.5503584714423,0.0,0,31.600927800000004,0.2307509473281896,0.3083775292602405,mass_scale,0.9,0.0,0.0,0.04675362118938842
mass_scale_0.9_1,se3_wbc,70.13240219664287,6.572945148009267,0.13932478838158902,9.771182094739757,False,FALL,2.4239999999999546,0.2846752116183655,1.4198115181743507,1.1983270209317571,50.0,474.1701289128125,0.0,1,31.600927800000004,0.22622983237366098,0.3092055447416248,mass_scale,0.9,0.0,0.0,0.0013779556621534182
mass_scale_0.9_2,se3_wbc,67.33005590359235,-4.181987531845979,0.15942677221782842,10.73421348595567,False,FALL,,,1.6896885235589976,1.5323363144308138,139.0,1189.8706058202301,-2.220446049250313e-16,2,31.600927800000004,0.2171901543892654,0.33968032691608724,mass_scale,0.9,0.0,0.0,0.032871650743779623
mass_scale_0.9_3,se3_wbc,65.35927067200859,-20.445320250513454,0.1590382339561919,10.394622980340975,False,FALL,2.439999999999953,0.2809617660437609,1.430099042835175,1.1948667531552015,51.51048899257845,490.2904054087213,0.0,3,31.600927800000004,0.21083288729700794,0.3289341074454457,mass_scale,0.9,0.0,0.0,0.005683600996070171
mass_scale_0.9_4,se3_wbc,74.96222838241052,-1.3977383386062172,0.16428731117123113,12.31534294034997,False,FALL,,,1.2279970474108077,1.451054032416768,139.0,1327.7177348555138,-2.220446049250313e-16,4,31.600927800000004,0.24180966044423627,0.38971460009949355,mass_scale,0.9,0.0,0.0,0.02719707003817491
mass_scale_1.0_0,se3_wbc,71.53397089800029,-1.056838906330415,0.13622920571808583,9.745016037295247,True,,2.391999999999958,0.2557707942818723,0.048418651112052645,0.06969863196815304,20.349420517489996,444.90034525534315,0.8244037539399374,0,35.112142000000006,0.20767585259537064,0.2775397763342164,mass_scale,1.0,0.0,0.0,0.04675362118938842
mass_scale_1.0_1,se3_wbc,70.13240219664287,6.572945148009267,0.13932478838158902,9.771182094739757,True,,2.383999999999959,0.24467521161836991,0.04830475797791912,0.0660802865904733,21.239302636837376,370.54377419602775,0.8303568230431122,1,35.112142000000006,0.20360684913629487,0.27828499026746234,mass_scale,1.0,0.0,0.0,0.0013779556621534182
mass_scale_1.0_2,se3_wbc,67.33005590359235,-4.181987531845979,0.15942677221782842,10.73421348595567,True,,2.427999999999954,0.268573227782126,0.05212184584796388,0.08623874648909602,20.83861320965464,476.68112532155214,0.8254629046916132,2,35.112142000000006,0.19547113895033885,0.3057122942244785,mass_scale,1.0,0.0,0.0,0.032871650743779623
mass_scale_1.0_3,se3_wbc,65.35927067200859,-20.445320250513454,0.1590382339561919,10.394622980340975,True,,2.403999999999957,0.24496176604376485,0.05264872765567619,0.06814384055851841,23.913337875899586,367.7853636440968,0.8260525803048531,3,35.112142000000006,0.18974959856730717,0.29604069670090116,mass_scale,1.0,0.0,0.0,0.005683600996070171
mass_scale_1.0_4,se3_wbc,74.96222838241052,-1.3977383386062172,0.16428731117123113,12.31534294034997,False,FALL,,,1.5555958067752806,1.4680753446184946,93.27076950182226,1101.5352895196481,0.0,4,35.112142000000006,0.21762869439981264,0.35074314008954416,mass_scale,1.0,0.0,0.0,0.02719707003817491
mass_scale_1.1_0,se3_wbc,71.53397089800029,-1.056838906330415,0.13622920571808583,9.745016037295247,True,,2.3639999999999612,0.2277707942818754,0.043245675147305485,0.05741682776302448,22.35247725831704,327.454780510368,0.8526718660344415,0,38.6233562,0.18879622963215512,0.2523088875765604,mass_scale,1.1,0.0,0.0,0.04675362118938842
mass_scale_1.1_1,se3_wbc,70.13240219664287,6.572945148009267,0.13932478838158902,9.771182094739757,True,,2.3599999999999617,0.22067521161837256,0.0432218429559962,0.05534755589313349,22.926638358122982,334.4448138752662,0.849110001317304,1,38.6233562,0.1850971355784499,0.25298635478860215,mass_scale,1.1,0.0,0.0,0.0013779556621534182
mass_scale_1.1_2,se3_wbc,67.33005590359235,-4.181987531845979,0.15942677221782842,10.73421348595567,True,,2.391999999999958,0.23257322778212997,0.04662470590962192,0.06680964766414042,22.781142164680595,390.7386575979159,0.8372718243596675,2,38.6233562,0.17770103540939894,0.27792026747679865,mass_scale,1.1,0.0,0.0,0.032871650743779623
