trial_id,controller,push_magnitude_N,push_direction_deg,push_duration_s,impulse_Ns,success,failure_reason,recovered_at_s,recovery_latency_s,max_torso_error_rad,max_com_displacement_m,max_joint_torque_Nm,max_contact_force_N,min_friction_margin,seed,mass_kg,force_over_mg,impulse_over_mass_m_s
pd_10_0,pd,10.0,0.0,0.15,1.5,True,,2.1519999999999846,0.0019999999999846807,0.052198383757076826,0.026897355419900675,5.7696832902442665,172.39873268547848,0.9744534801944383,0,35.112142000000006,0.029031780284012747,0.04272026468792476
pd_10_15,pd,10.0,14.999999999999998,0.15,1.5,True,,2.1519999999999846,0.0019999999999846807,0.05122987876588311,0.026420505439561856,5.669590836855209,181.28259237802993,0.9727565531322647,0,35.112142000000006,0.029031780284012747,0.04272026468792476
pd_10_30,pd,10.0,29.999999999999996,0.15,1.5,True,,2.1519999999999846,0.0019999999999846807,0.04842129106837028,0.025032847318388573,5.369535625971763,188.9581534265138,0.9686715689034547,0,35.112142000000006,0.029031780284012747,0.04272026468792476
pd_10_45,pd,10.0,45.0,0.15,1.5,True,,2.1519999999999846,0.0019999999999846807,0.04400819131249907,0.022852763821195422,4.895804195344406,195.9104793353244,0.9632561807837603,0,35.112142000000006,0.029031780284012747,0.04272026468792476
pd_10_60,pd,10.0,59.99999999999999,0.15,1.5,True,,2.1519999999999846,0.0019999999999846807,0.03849946964999055,0.020119929951366227,4.282711270727277,201.0558579826973,0.9580526905547254,0,35.112142000000006,0.029031780284012747,0.04272026468792476
pd_10_75,pd,10.0,75.0,0.15,1.5,True,,2.1519999999999846,0.0019999999999846807,0.03300050794919442,0.017391343658730136,3.6452961573821376,204.3761805831631,0.9547968615439049,0,35.112142000000006,0.029031780284012747,0.04272026468792476
pd_10_90,pd,10.0,90.0,0.15,1.5,True,,2.1519999999999846,0.0019999999999846807,0.031909607331130165,0.016845268251746,3.5229520416177844,205.55503778150083,0.9533650400691441,0,35.112142000000006,0.029031780284012747,0.04272026468792476
pd_10_105,pd,10.0,105.00000000000001,0.15,1.5,True,,2.1519999999999846,0.0019999999999846807,0.03132164125708315,0.016497471132026317,3.4688570920738813,204.50427999466115,0.9555296571666068,0,35.112142000000006,0.029031780284012747,0.04272026468792476
pd_10_120,pd,10.0,119.99999999999999,0.15,1.5,True,,2.1519999999999846,0.0019999999999846807,0.030754287614517678,0.01616314065311166,3.41655083680409,201.2903323285334,0.9611294086481381,0,35.112142000000006,0.029031780284012747,0.04272026468792476
pd_10_135,pd,10.0,135.0,0.15,1.5,True,,2.1519999999999846,0.0019999999999846807,0.030180157486437043,0.015830021131863548,3.363317639654619,196.0853257116952,0.9671369630551151,0,35.112142000000006,0.029031780284012747,0.04272026468792476
