{'trial_id': 'pd_10_165', 'controller': 'pd', 'push_magnitude_N': 10.0, 'push_direction_deg': 165.0, 'push_duration_s': 0.15, 'impulse_Ns': 1.5, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.02938956055230336, 'max_com_displacement_m': 0.015375166933080461, 'max_joint_torque_Nm': 3.2888756082881607, 'max_contact_force_N': 181.6637773770167, 'min_friction_margin': 0.974433033538871, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.029031780284012747, 'impulse_over_mass_m_s': 0.04272026468792476}
{'trial_id': 'pd_10_180', 'controller': 'pd', 'push_magnitude_N': 10.0, 'push_direction_deg': 180.0, 'push_duration_s': 0.15, 'impulse_Ns': 1.5, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.02928315107397599, 'max_com_displacement_m': 0.01531404300557664, 'max_joint_torque_Nm': 3.277796494390866, 'max_contact_force_N': 172.5108799305099, 'min_friction_margin': 0.9765627527618834, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.029031780284012747, 'impulse_over_mass_m_s': 0.04272026468792476}
{'trial_id': 'pd_10_195', 'controller': 'pd', 'push_magnitude_N': 10.0, 'push_direction_deg': 195.0, 'push_duration_s': 0.15, 'impulse_Ns': 1.5, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.029389460699831137, 'max_com_displacement_m': 0.015375119925783396, 'max_joint_torque_Nm': 3.287703578231959, 'max_contact_force_N': 181.4499784283728, 'min_friction_margin': 0.9744211317072299, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.029031780284012747, 'impulse_over_mass_m_s': 0.04272026468792476}
{'trial_id': 'pd_10_210', 'controller': 'pd', 'push_magnitude_N': 10.0, 'push_direction_deg': 210.00000000000003, 'push_duration_s': 0.15, 'impulse_Ns': 1.5, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.02970040563094663, 'max_com_displacement_m': 0.015553735465434483, 'max_joint_torque_Nm': 3.317251186905115, 'max_contact_force_N': 189.25866072861123, 'min_friction_margin': 0.9708666383658267, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.029031780284012747, 'impulse_over_mass_m_s': 0.04272026468792476}
{'trial_id': 'pd_10_225', 'controller': 'pd', 'push_magnitude_N': 10.0, 'push_direction_deg': 225.0, 'push_duration_s': 0.15, 'impulse_Ns': 1.5, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.030179891675049253, 'max_com_displacement_m': 0.015829898530545602, 'max_joint_torque_Nm': 3.3620003814399033, 'max_contact_force_N': 195.87179559497557, 'min_friction_margin': 0.9671095914969017, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.029031780284012747, 'impulse_over_mass_m_s': 0.04272026468792476}
{'trial_id': 'pd_10_240', 'controller': 'pd', 'push_magnitude_N': 10.0, 'push_direction_deg': 239.99999999999997, 'push_duration_s': 0.15, 'impulse_Ns': 1.5, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.030753939214298396, 'max_com_displacement_m': 0.016162981491470666, 'max_joint_torque_Nm': 3.415127000596167, 'max_contact_force_N': 201.07714861145718, 'min_friction_margin': 0.9611818274511104, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.029031780284012747, 'impulse_over_mass_m_s': 0.04272026468792476}
{'trial_id': 'pd_10_255', 'controller': 'pd', 'push_magnitude_N': 10.0, 'push_direction_deg': 255.00000000000003, 'push_duration_s': 0.15, 'impulse_Ns': 1.5, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.03132125104816765, 'max_com_displacement_m': 0.016497304965820917, 'max_joint_torque_Nm': 3.467327930563125, 'max_contact_force_N': 204.29149762318156, 'min_friction_margin': 0.9555973634613971, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.029031780284012747, 'impulse_over_mass_m_s': 0.04272026468792476}
{'trial_id': 'pd_10_270', 'controller': 'pd', 'push_magnitude_N': 10.0, 'push_direction_deg': 270.0, 'push_duration_s': 0.15, 'impulse_Ns': 1.5, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.03190918061222297, 'max_com_displacement_m': 0.016845093245757933, 'max_joint_torque_Nm': 3.5213136382664727, 'max_contact_force_N': 205.34273156509204, 'min_friction_margin': 0.9534397194135618, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.029031780284012747, 'impulse_over_mass_m_s': 0.04272026468792476}
{'trial_id': 'pd_10_285', 'controller': 'pd', 'push_magnitude_N': 10.0, 'push_direction_deg': 285.0, 'push_duration_s': 0.15, 'impulse_Ns': 1.5, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.03299993286904805, 'max_com_displacement_m': 0.017391069666625274, 'max_joint_torque_Nm': 3.64430166143547, 'max_contact_force_N': 204.16435319730965, 'min_friction_margin': 0.9548705816480605, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.029031780284012747, 'impulse_over_mass_m_s': 0.04272026468792476}
{'trial_id': 'pd_10_300', 'controller': 'pd', 'push_magnitude_N': 10.0, 'push_direction_deg': 300.0, 'push_duration_s': 0.15, 'impulse_Ns': 1.5, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.03849890265975107, 'max_com_displacement_m': 0.020119670988218354, 'max_joint_torque_Nm': 4.2816954079049045, 'max_contact_force_N': 200.84385056411128, 'min_friction_margin': 0.9581275685760254, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.029031780284012747, 'impulse_over_mass_m_s': 0.04272026468792476}
